Time, Event
17:58,-----------------------------------------
17:58,Install Action54
17:58,Moduel PN: MOD01S008000600005
17:58,Moduel Path: C:\OEM\Preload\DPOP\EnableMapControlVariant\
17:58,Module Name: [DPOP] Enable MapControl Variant in China
17:58,Delete Action53
17:58,execute process 1
17:58,process 1 install command: C:\OEM\Preload\DPOP\EnableMapControlVariant\_WriteChinaVariantWin10.cmd 
17:58,Return code check: False
17:58,Execute process 1 success
17:58,Install Action54 success
17:58,-----------------------------------------
17:58,Install Action55
17:58,Moduel PN: MOD01S00AA00600003
17:58,Moduel Path: C:\OEM\Preload\DPOP\TPMSettings\
17:58,Module Name: [DPOP] TPM Settings
17:58,Delete Action54
17:58,execute process 1
17:58,process 1 install command: C:\OEM\Preload\DPOP\TPMSettings\Preload.cmd 
17:58,Return code check: False
17:58,Execute process 1 success
17:58,Install Action55 success
17:58,-----------------------------------------
17:58,Install Action56
17:58,Moduel PN: MOD01S00DV00600002
17:58,Moduel Path: C:\OEM\Preload\DPOP\PenShortcutsSetting\
17:58,Module Name: [DPOP] Pen Shortcuts Setting
17:58,Delete Action55
17:58,execute process 1
17:58,process 1 install command: C:\OEM\Preload\DPOP\PenShortcutsSetting\PenShortcutsSetting.cmd 
17:58,Return code check: False
17:58,Execute process 1 success
17:59,Install Action56 success
17:59,-----------------------------------------
17:59,Install Action57
17:59,Moduel PN: MOD01APP8Y0060001L
17:59,Moduel Path: c:\OEM\Preload\APP\PowerSettings\
17:59,Module Name: Power Management Setting
17:59,Delete Action56
17:59,execute process 1
17:59,process 1 install command: c:\OEM\Preload\APP\PowerSettings\PowerManagement.cmd UserAlaunch
17:59,Return code check: False
17:59,Execute process 1 success
17:59,execute process 2
17:59,process 2 install command: c:\OEM\Preload\APP\PowerSettings\WorkaroundForFirstBoot.cmd 
17:59,Return code check: False
17:59,Execute process 2 success
17:59,Install Action57 success
17:59,-----------------------------------------
17:59,Install Action58
